dimension,slice,rows,eia_mae_mw,ml_mae_mw,improvement_pct,eia_bias_mw,ml_bias_mw,eia_underforecast_rate_pct,ml_underforecast_rate_pct
Hour (PJM local),0,360.0,5358.444444444444,1721.2626665789428,67.87756811842058,5289.222222222223,-111.2912828014127,97.77777777777777,49.72222222222222
Hour (PJM local),1,362.0,5062.955801104972,1380.0485424573985,72.74223602433567,5044.254143646409,-132.63491128173843,98.89502762430939,50.82872928176796
Hour (PJM local),2,361.0,4631.476454293629,1359.2057690558554,70.65286237619112,4596.8891966759,-46.34289303767628,97.22991689750693,52.07756232686981
Hour (PJM local),3,362.0,3939.814917127072,1365.1305263361894,65.35038942053532,3841.317679558011,-56.89456004560389,94.47513812154696,51.10497237569061
Hour (PJM local),4,362.0,2868.3977900552486,1456.3361544332768,49.2282360737272,2390.6077348066297,-75.76992607684916,83.14917127071824,50.27624309392266
Hour (PJM local),5,362.0,2516.817679558011,1564.8210195366744,37.825412136667794,-36.05524861878453,14.10166977637641,51.38121546961326,51.93370165745856
Hour (PJM local),6,362.0,3818.3977900552486,1758.8264519145139,53.938103135947365,-2519.182320441989,-325.642943727495,26.519337016574585,44.19889502762431
Hour (PJM local),7,362.0,2897.8729281767955,1630.7704619863925,43.72525978865484,-2215.7624309392263,-35.281540988030635,24.30939226519337,52.48618784530387
Hour (PJM local),8,362.0,1668.1795580110497,1682.0920248640944,-0.8339909685521084,-419.8259668508287,239.58641495484235,41.71270718232044,53.591160220994475
Hour (PJM local),9,362.0,2060.439226519337,1750.6254996740354,15.03629531304664,565.8370165745856,615.6131732440058,59.392265193370164,62.430939226519335
Hour (PJM local),10,362.0,2425.439226519337,1810.8570842984495,25.33900398332605,575.8812154696133,560.4179743542056,61.04972375690608,59.94475138121547
Hour (PJM local),11,362.0,2912.1519337016575,1925.471079159293,33.881503335170684,574.7154696132596,695.6378054407593,61.60220994475139,62.15469613259669
Hour (PJM local),12,362.0,3167.2127071823206,2059.9663894102355,34.95964496672962,555.4171270718232,697.6703764070334,59.94475138121547,61.32596685082873
Hour (PJM local),13,362.0,3221.759668508287,2156.5975491252516,33.06150144576793,541.0966850828729,598.0304226194012,58.83977900552486,60.22099447513812
Hour (PJM local),14,362.0,3108.53591160221,2280.4239411305225,26.639935777510765,773.939226519337,688.7359022908282,59.11602209944752,62.15469613259669
Hour (PJM local),15,362.0,2780.574585635359,2289.8368727978277,17.648787965362143,339.3370165745856,380.57879502316155,55.80110497237569,55.24861878453039
Hour (PJM local),16,362.0,2467.1270718232045,2290.5995556856406,7.155185403851544,-842.4861878453039,-114.92657164051323,41.16022099447514,48.34254143646409
Hour (PJM local),17,362.0,2736.972375690608,2339.1022056121024,14.536871968907347,-1674.7624309392265,-429.57495106532764,30.11049723756906,45.30386740331492
Hour (PJM local),18,362.0,2477.0441988950274,2208.334278854566,10.848006675065745,-195.8121546961326,-72.37311982601543,48.89502762430939,51.38121546961326
Hour (PJM local),19,363.0,2608.052341597796,2016.1927637474662,22.693546767076505,1062.581267217631,79.59819175407615,63.63636363636363,49.586776859504134
Hour (PJM local),20,363.0,2695.0661157024792,1931.3156922624855,28.33883810827844,1755.1267217630855,58.4805048194063,73.27823691460054,50.13774104683195
Hour (PJM local),21,363.0,3406.8044077134987,1811.3112664703503,46.832543060902495,3112.8815426997244,141.86710082635977,89.53168044077135,54.82093663911846
Hour (PJM local),22,363.0,4998.482093663912,1769.7198329166188,64.59485500288338,4904.371900826446,143.42575714895946,97.52066115702479,52.892561983471076
Hour (PJM local),23,363.0,5442.62258953168,1664.5132899918235,69.4170730633915,5399.707988980716,12.868937066819528,98.34710743801654,51.790633608815426
