dimension,slice,rows,eia_mae_mw,ml_mae_mw,improvement_pct,eia_bias_mw,ml_bias_mw,eia_underforecast_rate_pct,ml_underforecast_rate_pct
Month (PJM local),Jan,745.0,3425.3973154362416,2518.9901857775103,26.46137210343717,1163.1906040268457,137.23652106283214,64.42953020134227,50.06711409395973
Month (PJM local),Feb,672.0,3148.9136904761904,2117.484333780461,32.75508502552043,1421.982142857143,511.30853344067856,68.45238095238095,57.291666666666664
Month (PJM local),Mar,743.0,2923.257065948856,1658.6653211705034,43.25968316330335,1084.0619111709286,25.30804031603646,66.48721399730822,48.99057873485868
Month (PJM local),Apr,720.0,2621.7083333333335,1492.258724460419,43.08067356359553,838.025,147.16662659166255,62.083333333333336,53.888888888888886
Month (PJM local),May,744.0,2601.7352150537636,1508.5601668480217,42.017152317444875,1547.9744623655913,187.81134720996343,70.43010752688173,55.91397849462365
Month (PJM local),Jun,720.0,4314.0055555555555,2164.640686936405,49.82295087337587,2933.5555555555557,910.9485051365617,72.77777777777777,63.33333333333333
Month (PJM local),Jul,744.0,4815.23252688172,2159.075435779971,55.161554011636504,2074.162634408602,252.88111137055148,60.61827956989247,57.66129032258065
Month (PJM local),Aug,744.0,3908.690860215054,1940.7501369292252,50.34782216513162,1035.034946236559,-696.2128050534335,56.048387096774185,33.87096774193548
Month (PJM local),Sep,720.0,3253.9333333333334,1512.0248267587604,53.53239689118522,1840.9611111111112,481.02478645584455,65.69444444444444,62.77777777777778
Month (PJM local),Oct,744.0,2458.4139784946237,1117.318907467319,54.55123029557887,830.5215053763441,63.779698841378014,65.86021505376344,54.3010752688172
Month (PJM local),Nov,645.0,2604.640310077519,1380.7769276136787,46.987807787840616,1217.0031007751938,-38.057706653686104,73.0232558139535,53.17829457364341
Month (PJM local),Dec,749.0,3455.1602136181577,2490.1357178428307,27.929949296469164,750.863818424566,-171.62757195762822,62.34979973297731,51.66889185580774
